import time: self [us] | cumulative | imported package
import time:       832 |        832 |                 mutagen.mp4._util
import time:      1388 |       1388 |                   mutagen.aac
import time:      1395 |       2783 |                 mutagen.mp4._as_entry
import time:      2312 |       7277 |               mutagen.mp4
import time:      1549 |       1549 |                 mutagen.ogg
import time:      1219 |       2768 |               mutagen.oggopus
import time:      1138 |       1138 |               mutagen.oggvorbis
import time:      1417 |      50305 |             yt_dlp.postprocessor.embedthumbnail
import time:       865 |        865 |             yt_dlp.postprocessor.exec
import time:       987 |        987 |             yt_dlp.postprocessor.metadataparser
import time:       890 |        890 |               yt_dlp.postprocessor.sponsorblock
import time:      1943 |       2833 |             yt_dlp.postprocessor.modify_chapters
import time:      6962 |       6962 |             yt_dlp.postprocessor.movefilesafterdownload
import time:      1126 |       1126 |             yt_dlp.postprocessor.xattrpp
import time:      2163 |       2163 |               importlib.abc
import time:      3794 |       3794 |               pkgutil
import time:      4354 |      10309 |             yt_dlp.plugins
import time:      1713 |      76942 |           yt_dlp.postprocessor
import time:        63 |      77005 |         yt_dlp.postprocessor.ffmpeg
import time:      1884 |      83697 |       yt_dlp.downloader.external
import time:      5818 |       5818 |       yt_dlp.downloader.f4m
import time:       934 |        934 |       yt_dlp.downloader.fc2
import time:      3635 |       3635 |         yt_dlp.webvtt
import time:      1312 |       4947 |       yt_dlp.downloader.hls
import time:      1078 |       1078 |       yt_dlp.downloader.ism
import time:       830 |        830 |         yt_dlp.version
import time:      2235 |       3064 |       yt_dlp.downloader.mhtml
import time:      1071 |       1071 |       yt_dlp.downloader.niconico
import time:      1022 |       1022 |       yt_dlp.downloader.rtmp
import time:       971 |        971 |       yt_dlp.downloader.rtsp
import time:      1644 |       1644 |             asyncio.constants
import time:      1328 |       1328 |             asyncio.coroutines
import time:      1812 |       1812 |               asyncio.format_helpers
import time:      1368 |       1368 |                 asyncio.base_futures
import time:      1550 |       1550 |                 asyncio.exceptions
import time:      1316 |       1316 |                 asyncio.base_tasks
import time:      2236 |       6468 |               _asyncio
import time:      1868 |      10147 |             asyncio.events
import time:      1453 |       1453 |             asyncio.futures
import time:      1399 |       1399 |             asyncio.protocols
import time:      1384 |       1384 |               asyncio.transports
import time:      1351 |       1351 |               asyncio.log
import time:      2293 |       5027 |             asyncio.sslproto
import time:      1519 |       1519 |                 asyncio.mixins
import time:      1906 |       1906 |                 asyncio.tasks
import time:      2163 |       5587 |               asyncio.locks
import time:      1827 |       7414 |             asyncio.staggered
import time:      1437 |       1437 |             asyncio.trsock
import time:      3757 |      33603 |           asyncio.base_events
import time:      1882 |       1882 |           asyncio.runners
import time:      3302 |       3302 |           asyncio.queues
import time:      1917 |       1917 |           asyncio.streams
import time:      2047 |       2047 |           asyncio.subprocess
import time:      1735 |       1735 |           asyncio.taskgroups
import time:      1783 |       1783 |           asyncio.timeouts
import time:      1380 |       1380 |           asyncio.threads
import time:      2931 |       2931 |             _overlapped
import time:      1748 |       1748 |             asyncio.base_subprocess
import time:      2170 |       2170 |             asyncio.proactor_events
import time:      3281 |       3281 |             asyncio.selector_events
import time:      1347 |       1347 |             asyncio.windows_utils
import time:      2452 |      13926 |           asyncio.windows_events
import time:      2437 |      64010 |         asyncio
import time:       985 |      64994 |       yt_dlp.downloader.websocket
import time:      1251 |       1251 |       yt_dlp.downloader.youtube_live_chat
import time:      1021 |       1021 |       yt_dlp.downloader.bunnycdn
import time:      1266 |       1266 |           yt_dlp.extractor
import time:      1959 |       1959 |             yt_dlp.utils.jslib
import time:       207 |        207 |               array
import time:      1491 |       1698 |             yt_dlp.utils.jslib.devalue
import time:      3664 |       7320 |           yt_dlp.extractor.common
import time:      4196 |      12781 |         yt_dlp.extractor.afreecatv
import time:      1095 |      13876 |       yt_dlp.downloader.soop
import time:      1882 |     220006 |     yt_dlp.downloader
import time:        53 |     220058 |   yt_dlp.downloader.external
import time:      2019 |       2019 |   yt_dlp.extractor.adobepass
import time:      3637 |       3637 |     yt_dlp.update
import time:      2622 |       6258 |   yt_dlp.options
import time:      4317 |       4317 |     sysconfig
import time:      2902 |       7218 |   yt_dlp.utils._jsruntime
import time:      2461 |       2461 |     fileinput
import time:      1257 |       1257 |     yt_dlp.cache
import time:      1418 |       1418 |     yt_dlp.compat.urllib.request
import time:      1167 |       1167 |     yt_dlp.extractor.openload
import time:      5725 |      12025 |   yt_dlp.YoutubeDL
import time:      3000 |     384247 | yt_dlp
import time:      2320 |       2320 | concurrent.futures.thread
import time:      2208 |       2208 |       keyboard._canonical_names
import time:      1280 |       3487 |     keyboard._keyboard_event
import time:      2695 |       6181 |   keyboard._winkeyboard
import time:      1072 |       1072 |   keyboard._generic
import time:     49658 |      56910 | keyboard
import time:      1114 |       1114 |       colorama.ansi
import time:      1253 |       1253 |         colorama.win32
import time:      1174 |       2427 |       colorama.winterm
import time:      2174 |       5713 |     colorama.ansitowin32
import time:      1553 |       7266 |   colorama.initialise
import time:      2045 |       9310 | colorama
import time:      1748 |       1748 |   ctypes.util
import time:     21727 |      23475 | vlc
import time:      3387 |       3387 |     dotenv.parser
import time:      1532 |       1532 |     dotenv.variables
import time:      2396 |       7314 |   dotenv.main
import time:      2065 |       9379 | dotenv
import time:     40955 |      40955 | yt_dlp.extractor.lazy_extractors
